date,category,region,store_size,month,day_of_week,is_weekend,promotion,footfall,avg_basket,discount_pct,sales
2021-02-04,Home & Garden,Central,Large,2,3,0,1,181,8.95,21.3,1464.42
2021-02-05,Clothing,South,Large,2,4,0,0,95,8.42,5.6,824.4
2021-02-06,Home & Garden,North,Medium,2,5,1,1,69,10.57,5.8,830.81
2021-02-07,Electronics,South,Medium,2,6,1,1,96,13.21,29.5,979.33
2021-02-08,Clothing,Central,Large,2,0,0,0,81,9.25,14.9,652.95
2021-02-09,Home & Garden,South,Small,2,1,0,1,54,9.9,9.5,650.48
2021-02-10,Sports,Central,Large,2,2,0,1,93,7.64,26.4,637.96
2021-02-11,Sports,South,Small,2,3,0,0,33,11.22,19.1,291.82
2021-02-12,Clothing,South,Medium,2,4,0,0,53,8.65,13.9,388.42
2021-02-13,Electronics,North,Medium,2,5,1,0,55,9.17,20.0,396.76
2021-02-14,Clothing,South,Large,2,6,1,0,89,8.98,23.5,650.21
2021-02-15,Electronics,West,Medium,2,0,0,0,73,10.21,18.5,662.02
2021-02-16,Sports,Central,Small,2,1,0,1,60,8.84,2.2,650.22
2021-02-17,Groceries,South,Large,2,2,0,1,232,8.61,24.4,1631.9
2021-02-18,Electronics,North,Small,2,3,0,1,66,9.17,25.1,518.84
2021-02-19,Electronics,Central,Large,2,4,0,1,139,9.51,1.1,1588.15
2021-02-20,Sports,West,Small,2,5,1,0,24,10.17,28.8,195.52
2021-02-21,Groceries,East,Small,2,6,1,0,124,10.93,29.1,891.99
2021-02-22,Home & Garden,West,Medium,2,0,0,1,71,10.44,5.8,865.35
2021-02-23,Electronics,West,Small,2,1,0,1,78,9.95,15.2,807.19
2021-02-24,Groceries,West,Medium,2,2,0,1,150,7.81,27.5,1077.46
2021-02-25,Sports,Central,Large,2,3,0,0,84,10.06,27.5,589.93
2021-02-26,Home & Garden,Central,Medium,2,4,0,1,82,12.12,25.7,849.02
2021-02-27,Home & Garden,Central,Medium,2,5,1,0,111,10.05,1.1,1015.3
2021-02-28,Clothing,Central,Small,2,6,1,0,46,9.26,22.5,349.79
2021-03-01,Clothing,West,Large,3,0,0,0,98,8.26,25.6,619.47
2021-03-02,Clothing,Central,Small,3,1,0,0,44,10.5,23.1,338.76
2021-03-03,Clothing,East,Large,3,2,0,1,116,9.27,17.9,997.91
2021-03-04,Clothing,South,Medium,3,3,0,1,54,10.72,20.5,622.82
2021-03-05,Clothing,Central,Medium,3,4,0,0,33,11.75,11.1,336.55
2021-03-06,Sports,Central,Medium,3,5,1,0,55,9.12,16.4,432.15
2021-03-07,Clothing,North,Small,3,6,1,0,35,8.85,11.4,268.08
2021-03-08,Home & Garden,West,Small,3,0,0,1,39,12.53,7.9,552.92
2021-03-09,Electronics,Central,Medium,3,1,0,0,101,10.07,6.9,1055.34
2021-03-10,Groceries,North,Medium,3,2,0,1,112,12.15,17.6,1218.78
2021-03-11,Home & Garden,Central,Medium,3,3,0,1,57,9.44,4.0,597.08
2021-03-12,Electronics,North,Small,3,4,0,0,55,11.04,29.8,481.16
2021-03-13,Sports,West,Large,3,5,1,0,30,13.14,0.9,375.38
2021-03-14,Home & Garden,South,Medium,3,6,1,0,56,10.79,8.0,596.18
2021-03-15,Groceries,West,Small,3,0,0,1,132,9.82,4.6,1364.31
2021-03-16,Clothing,Central,Medium,3,1,0,1,54,10.03,19.3,610.13
2021-03-17,Home & Garden,East,Medium,3,2,0,1,95,10.41,11.4,1009.56
2021-03-18,Home & Garden,West,Large,3,3,0,0,191,8.22,3.0,1584.42
2021-03-19,Home & Garden,Central,Medium,3,4,0,0,46,11.39,22.1,382.3
2021-03-20,Electronics,East,Small,3,5,1,1,83,10.79,13.6,1035.34
2021-03-21,Electronics,West,Medium,3,6,1,0,93,10.43,24.0,709.06
2021-03-22,Clothing,Central,Large,3,0,0,0,84,10.71,12.4,771.43
2021-03-23,Sports,North,Small,3,1,0,0,30,8.53,16.8,215.84
2021-03-24,Clothing,South,Large,3,2,0,0,77,10.81,12.4,752.49
2021-03-25,Electronics,South,Small,3,3,0,0,66,8.43,5.8,524.15
2021-03-26,Home & Garden,East,Medium,3,4,0,1,109,8.77,28.1,837.37
2021-03-27,Electronics,South,Small,3,5,1,1,69,12.41,16.7,866.74
2021-03-28,Electronics,South,Large,3,6,1,0,140,11.62,17.7,1306.14
2021-03-29,Groceries,South,Large,3,0,0,1,127,11.79,0.3,1742.86
2021-03-30,Home & Garden,South,Large,3,1,0,1,107,9.73,29.3,922.06
2021-03-31,Groceries,West,Small,3,2,0,0,99,12.61,14.4,1000.05
2021-04-01,Sports,North,Medium,4,3,0,0,49,9.31,12.7,398.48
2021-04-02,Home & Garden,East,Large,4,4,0,0,120,7.87,5.4,962.19
2021-04-03,Sports,South,Small,4,5,1,1,38,10.12,13.8,523.03
2021-04-04,Clothing,North,Medium,4,6,1,0,81,9.76,21.5,575.97
2021-04-05,Home & Garden,West,Large,4,0,0,1,151,7.91,16.9,1187.78
2021-04-06,Clothing,East,Small,4,1,0,1,38,8.8,28.5,436.15
2021-04-07,Sports,East,Small,4,2,0,1,28,8.24,5.6,372.01
2021-04-08,Electronics,South,Small,4,3,0,1,94,8.44,10.6,897.31
2021-04-09,Groceries,East,Large,4,4,0,1,195,8.52,25.1,1353.16
2021-04-10,Electronics,South,Medium,4,5,1,1,123,10.04,24.2,1039.44
2021-04-11,Groceries,North,Large,4,6,1,1,188,11.54,22.6,1788.89
2021-04-12,Home & Garden,West,Small,4,0,0,0,69,10.9,11.1,638.13
2021-04-13,Groceries,North,Medium,4,1,0,0,112,10.95,12.5,1202.88
2021-04-14,Home & Garden,East,Small,4,2,0,0,68,9.4,28.1,454.2
2021-04-15,Home & Garden,West,Medium,4,3,0,0,63,12.64,13.3,651.08
2021-04-16,Home & Garden,South,Small,4,4,0,0,61,11.18,18.2,524.76
2021-04-17,Electronics,East,Small,4,5,1,1,87,9.22,5.0,824.87
2021-04-18,Home & Garden,West,Medium,4,6,1,0,60,11.78,2.8,699.04
2021-04-19,Electronics,South,Large,4,0,0,1,225,7.99,28.3,1500.6
2021-04-20,Sports,East,Small,4,1,0,0,33,9.91,4.6,301.86
2021-04-21,Electronics,North,Large,4,2,0,0,78,11.49,9.9,772.41
2021-04-22,Home & Garden,North,Medium,4,3,0,1,94,8.86,23.8,721.21
2021-04-23,Electronics,West,Small,4,4,0,0,74,9.03,12.1,619.13
2021-04-24,Electronics,West,Medium,4,5,1,1,105,12.29,20.2,1101.63
2021-04-25,Sports,East,Large,4,6,1,1,100,10.03,22.5,917.72
2021-04-26,Electronics,Central,Medium,4,0,0,0,154,9.13,28.1,1025.2
2021-04-27,Clothing,East,Small,4,1,0,0,36,10.97,21.5,293.54
2021-04-28,Home & Garden,South,Large,4,2,0,1,146,9.65,18.8,1345.5
2021-04-29,Sports,Central,Medium,4,3,0,0,70,10.94,27.0,601.83
2021-04-30,Home & Garden,West,Large,4,4,0,0,59,11.32,24.2,514.43
2021-05-01,Electronics,North,Medium,5,5,1,0,174,8.42,22.4,1189.66
2021-05-02,Clothing,North,Medium,5,6,1,1,22,8.32,24.5,281.92
2021-05-03,Electronics,North,Large,5,0,0,1,150,13.16,13.1,1726.54
2021-05-04,Home & Garden,South,Large,5,1,0,1,119,11.36,7.1,1325.2
2021-05-05,Clothing,Central,Small,5,2,0,0,44,9.7,20.4,375.61
2021-05-06,Electronics,South,Large,5,3,0,1,135,8.85,3.7,1466.53
2021-05-07,Clothing,South,Large,5,4,0,1,116,10.42,21.0,1117.24
2021-05-08,Groceries,East,Large,5,5,1,0,145,8.88,3.3,1383.55
2021-05-09,Clothing,Central,Small,5,6,1,1,26,10.3,3.8,379.74
2021-05-10,Clothing,Central,Large,5,0,0,0,103,11.57,10.6,1068.87
2021-05-11,Groceries,North,Medium,5,1,0,0,136,10.98,27.8,1015.35
2021-05-12,Home & Garden,East,Large,5,2,0,0,145,9.53,19.4,1240.35
2021-05-13,Groceries,North,Medium,5,3,0,1,92,8.52,28.4,787.32
2021-05-14,Sports,North,Small,5,4,0,0,21,11.16,18.4,205.38
2021-05-15,Electronics,North,Small,5,5,1,1,73,9.79,4.6,721.44
2021-05-16,Electronics,West,Medium,5,6,1,0,102,8.85,19.6,787.53
2021-05-17,Groceries,Central,Large,5,0,0,1,290,8.46,26.1,1941.32
2021-05-18,Clothing,South,Large,5,1,0,1,82,11.3,1.0,998.46
2021-05-19,Electronics,West,Medium,5,2,0,0,160,8.32,20.9,1065.2
2021-05-20,Electronics,East,Medium,5,3,0,1,33,11.91,28.5,381.07
2021-05-21,Clothing,West,Large,5,4,0,1,129,8.73,24.0,962.24
2021-05-22,Clothing,North,Small,5,5,1,1,40,11.79,25.7,546.81
2021-05-23,Sports,West,Small,5,6,1,0,44,9.88,24.9,327.2
2021-05-24,Groceries,East,Small,5,0,0,1,122,10.49,25.9,1148.82
2021-05-25,Electronics,North,Small,5,1,0,1,54,10.11,11.3,558.37
2021-05-26,Groceries,South,Small,5,2,0,0,86,12.07,4.3,918.19
2021-05-27,Clothing,West,Large,5,3,0,0,113,9.27,23.6,817.93
2021-05-28,Groceries,West,Small,5,4,0,0,75,13.01,3.9,878.05
2021-05-29,Groceries,East,Large,5,5,1,0,152,11.26,29.0,1181.12
2021-05-30,Electronics,Central,Large,5,6,1,0,162,8.84,16.7,1178.15
2021-05-31,Clothing,West,Large,5,0,0,1,61,8.57,21.1,569.73
2021-06-01,Electronics,North,Small,6,1,0,1,67,8.35,20.8,670.37
2021-06-02,Home & Garden,Central,Medium,6,2,0,0,53,8.9,11.0,462.19
2021-06-03,Electronics,West,Large,6,3,0,1,101,11.82,15.3,1148.85
2021-06-04,Home & Garden,East,Large,6,4,0,1,32,11.65,20.4,382.17
2021-06-05,Electronics,South,Medium,6,5,1,1,43,10.64,6.3,594.02
2021-06-06,Home & Garden,West,Large,6,6,1,0,86,12.03,26.4,790.41
2021-06-07,Sports,Central,Large,6,0,0,0,67,9.69,5.7,640.7
2021-06-08,Sports,Central,Large,6,1,0,1,97,10.09,25.4,862.48
2021-06-09,Home & Garden,South,Small,6,2,0,0,36,10.02,8.7,334.02
2021-06-10,Home & Garden,North,Medium,6,3,0,0,52,10.49,20.0,465.84
2021-06-11,Sports,Central,Small,6,4,0,1,43,10.43,0.7,696.56
2021-06-12,Home & Garden,North,Large,6,5,1,0,89,8.33,26.2,552.17
2021-06-13,Electronics,South,Small,6,6,1,0,117,8.64,21.1,816.02
2021-06-14,Groceries,Central,Small,6,0,0,1,120,12.24,19.2,1192.51
2021-06-15,Clothing,East,Small,6,1,0,0,41,9.77,9.2,375.55
2021-06-16,Clothing,West,Medium,6,2,0,1,35,9.94,26.7,340.8
2021-06-17,Sports,West,Large,6,3,0,0,105,8.12,23.0,714.31
2021-06-18,Sports,South,Medium,6,4,0,0,41,9.07,21.3,299.02
2021-06-19,Electronics,Central,Large,6,5,1,0,133,11.52,15.4,1320.45
2021-06-20,Sports,North,Small,6,6,1,0,21,11.05,24.2,185.77
2021-06-21,Electronics,West,Large,6,0,0,1,123,12.04,29.4,1092.9
2021-06-22,Clothing,West,Large,6,1,0,0,70,8.66,13.4,570.77
2021-06-23,Electronics,North,Large,6,2,0,1,157,9.12,2.1,1511.72
2021-06-24,Clothing,Central,Large,6,3,0,0,60,9.51,12.8,486.64
2021-06-25,Sports,South,Small,6,4,0,0,49,11.71,24.7,455.84
2021-06-26,Sports,Central,Small,6,5,1,0,25,11.28,2.1,289.09
2021-06-27,Sports,South,Medium,6,6,1,0,54,9.78,22.2,389.07
2021-06-28,Clothing,East,Small,6,0,0,1,47,13.18,6.0,707.72
2021-06-29,Electronics,East,Small,6,1,0,0,73,11.68,10.7,702.72
2021-06-30,Electronics,East,Large,6,2,0,1,119,12.89,24.8,1277.78
2021-07-01,Home & Garden,West,Small,7,3,0,0,44,8.61,21.0,308.48
2021-07-02,Electronics,West,Large,7,4,0,1,92,10.7,29.5,875.4
2021-07-03,Electronics,East,Small,7,5,1,0,91,9.66,10.5,753.77
2021-07-04,Groceries,South,Medium,7,6,1,0,83,9.02,5.9,660.37
2021-07-05,Electronics,West,Small,7,0,0,1,46,12.2,5.8,634.43
2021-07-06,Groceries,Central,Small,7,1,0,1,96,9.06,20.0,895.96
2021-07-07,Clothing,Central,Small,7,2,0,0,3,8.84,3.1,50.0
2021-07-08,Clothing,North,Medium,7,3,0,1,62,8.53,6.5,658.28
2021-07-09,Sports,South,Large,7,4,0,0,73,9.44,15.0,592.95
2021-07-10,Clothing,South,Small,7,5,1,0,32,11.61,25.6,289.92
2021-07-11,Electronics,West,Small,7,6,1,1,49,10.69,20.4,597.73
2021-07-12,Groceries,South,Small,7,0,0,1,83,9.6,26.5,739.55
2021-07-13,Groceries,East,Small,7,1,0,0,73,11.62,24.7,641.56
2021-07-14,Sports,South,Medium,7,2,0,0,44,10.86,8.8,494.97
2021-07-15,Sports,Central,Large,7,3,0,0,73,9.35,6.1,595.48
2021-07-16,Clothing,Central,Small,7,4,0,1,47,8.96,15.4,485.49
2021-07-17,Home & Garden,North,Medium,7,5,1,1,56,8.14,24.1,509.47
2021-07-18,Electronics,Central,Small,7,6,1,0,30,8.33,14.4,228.79
2021-07-19,Clothing,West,Large,7,0,0,0,102,9.06,2.6,908.52
2021-07-20,Clothing,West,Small,7,1,0,1,24,11.02,3.2,355.36
2021-07-21,Groceries,West,Small,7,2,0,0,76,8.93,1.7,696.9
2021-07-22,Groceries,East,Medium,7,3,0,0,134,11.49,2.3,1600.26
2021-07-23,Clothing,Central,Small,7,4,0,0,21,12.52,12.1,222.48
2021-07-24,Home & Garden,West,Large,7,5,1,1,86,8.62,21.8,721.16
2021-07-25,Groceries,Central,Medium,7,6,1,1,80,10.7,3.9,935.51
2021-07-26,Electronics,Central,Large,7,0,0,0,101,8.96,15.6,723.45
2021-07-27,Sports,East,Large,7,1,0,1,52,10.02,6.0,604.22
2021-07-28,Clothing,South,Small,7,2,0,1,60,10.06,23.8,500.41
2021-07-29,Electronics,West,Medium,7,3,0,1,86,9.31,29.7,689.01
2021-07-30,Electronics,South,Medium,7,4,0,0,90,9.93,0.0,836.01
2021-07-31,Sports,East,Large,7,5,1,1,75,8.9,7.2,731.37
2021-08-01,Groceries,South,Small,8,6,1,0,59,11.13,20.1,517.96
2021-08-02,Sports,East,Medium,8,0,0,1,15,9.39,3.8,306.54
2021-08-03,Home & Garden,East,Medium,8,1,0,0,35,11.55,26.0,328.15
2021-08-04,Clothing,Central,Small,8,2,0,1,41,8.46,2.8,413.07
2021-08-05,Groceries,West,Medium,8,3,0,1,142,9.22,7.7,1425.95
2021-08-06,Clothing,North,Large,8,4,0,1,40,8.56,14.0,511.06
2021-08-07,Groceries,East,Large,8,5,1,1,132,13.55,16.6,1433.1
2021-08-08,Electronics,East,Medium,8,6,1,1,119,9.83,28.5,991.39
2021-08-09,Clothing,South,Medium,8,0,0,1,41,9.85,29.9,371.66
2021-08-10,Electronics,East,Medium,8,1,0,0,92,9.18,23.9,644.46
2021-08-11,Groceries,East,Large,8,2,0,1,88,11.74,25.5,976.4
2021-08-12,Clothing,South,Large,8,3,0,0,40,9.98,14.4,367.59
2021-08-13,Electronics,East,Large,8,4,0,1,80,10.79,21.0,854.95
2021-08-14,Electronics,Central,Small,8,5,1,1,57,9.45,8.0,687.21
2021-08-15,Clothing,West,Medium,8,6,1,0,34,8.8,1.8,316.71
2021-08-16,Home & Garden,South,Large,8,0,0,0,113,9.56,11.5,931.88
2021-08-17,Home & Garden,West,Large,8,1,0,0,66,8.9,27.7,476.02
2021-08-18,Electronics,Central,Small,8,2,0,0,31,9.42,26.4,211.47
2021-08-19,Home & Garden,South,Large,8,3,0,1,93,10.26,16.5,949.22
2021-08-20,Electronics,West,Large,8,4,0,0,97,9.85,1.1,908.05
2021-08-21,Electronics,North,Small,8,5,1,1,62,8.29,25.3,489.49
2021-08-22,Sports,West,Small,8,6,1,0,38,9.56,13.3,294.33
2021-08-23,Home & Garden,North,Medium,8,0,0,1,58,8.64,27.4,534.47
2021-08-24,Home & Garden,South,Medium,8,1,0,1,49,9.59,5.4,511.82
2021-08-25,Sports,West,Medium,8,2,0,1,34,9.22,5.7,425.73
2021-08-26,Electronics,South,Large,8,3,0,0,138,9.01,21.8,965.53
2021-08-27,Sports,South,Medium,8,4,0,1,25,9.06,14.8,369.07
2021-08-28,Electronics,East,Small,8,5,1,0,39,9.29,23.7,264.32
2021-08-29,Clothing,Central,Small,8,6,1,1,31,9.93,5.4,467.85
2021-08-30,Sports,East,Small,8,0,0,0,42,9.36,29.1,284.83
2021-08-31,Electronics,West,Small,8,1,0,0,75,8.63,22.9,490.21
2021-09-01,Groceries,Central,Large,9,2,0,1,130,11.17,20.4,1236.91
2021-09-02,Groceries,West,Large,9,3,0,0,132,8.17,12.6,1027.85
2021-09-03,Sports,West,Medium,9,4,0,1,26,8.6,8.0,424.4
2021-09-04,Home & Garden,East,Large,9,5,1,1,101,8.92,22.2,774.51
2021-09-05,Sports,East,Small,9,6,1,1,20,11.98,8.9,351.58
2021-09-06,Groceries,East,Medium,9,0,0,0,105,8.68,4.4,854.64
2021-09-07,Clothing,North,Medium,9,1,0,1,30,9.64,18.3,437.85
2021-09-08,Sports,Central,Small,9,2,0,1,27,12.08,28.9,284.94
2021-09-09,Groceries,North,Small,9,3,0,1,32,9.57,29.5,321.52
2021-09-10,Home & Garden,East,Large,9,4,0,0,66,10.71,0.8,750.91
2021-09-11,Clothing,East,Small,9,5,1,1,21,11.67,29.4,241.18
2021-09-12,Home & Garden,East,Small,9,6,1,1,26,10.56,0.8,363.16
2021-09-13,Clothing,North,Large,9,0,0,1,47,11.9,26.3,534.41
2021-09-14,Groceries,South,Medium,9,1,0,1,89,8.91,12.6,897.48
2021-09-15,Home & Garden,West,Small,9,2,0,0,13,11.54,1.5,150.31
2021-09-16,Sports,South,Small,9,3,0,1,26,8.81,11.1,397.86
2021-09-17,Electronics,Central,Medium,9,4,0,0,58,12.28,12.4,581.07
2021-09-18,Clothing,North,Small,9,5,1,0,16,9.7,26.6,117.69
2021-09-19,Groceries,South,Large,9,6,1,1,112,9.68,17.5,1052.97
2021-09-20,Home & Garden,South,Medium,9,0,0,1,53,9.16,15.2,602.12
2021-09-21,Home & Garden,North,Medium,9,1,0,0,46,8.87,12.9,347.76
2021-09-22,Home & Garden,South,Medium,9,2,0,0,51,8.5,28.9,341.56
2021-09-23,Clothing,East,Large,9,3,0,1,52,7.73,11.1,580.18
2021-09-24,Clothing,East,Small,9,4,0,1,34,8.13,12.6,391.29
2021-09-25,Clothing,North,Large,9,5,1,0,65,10.99,10.6,680.27
2021-09-26,Home & Garden,West,Medium,9,6,1,0,35,8.75,0.8,328.01
2021-09-27,Electronics,West,Large,9,0,0,1,64,10.08,2.9,738.79
2021-09-28,Electronics,East,Small,9,1,0,1,45,11.44,7.3,627.31
2021-09-29,Sports,West,Large,9,2,0,0,17,10.42,8.0,176.83
2021-09-30,Electronics,South,Small,9,3,0,0,54,12.11,23.7,495.58
2021-10-01,Sports,West,Medium,10,4,0,1,32,9.96,22.6,355.68
2021-10-02,Electronics,South,Medium,10,5,1,1,72,9.96,16.1,833.39
2021-10-03,Electronics,West,Small,10,6,1,1,36,11.53,19.2,455.97
2021-10-04,Electronics,West,Medium,10,0,0,0,54,9.62,14.4,498.99
2021-10-05,Clothing,East,Large,10,1,0,1,34,9.63,23.5,363.89
2021-10-06,Sports,North,Medium,10,2,0,1,25,10.2,15.1,289.91
2021-10-07,Groceries,West,Large,10,3,0,0,129,11.17,22.8,1051.71
2021-10-08,Groceries,Central,Large,10,4,0,0,144,7.78,29.3,852.23
2021-10-09,Home & Garden,East,Large,10,5,1,1,95,8.75,26.0,728.96
2021-10-10,Home & Garden,North,Large,10,6,1,1,65,8.41,11.1,638.36
2021-10-11,Home & Garden,Central,Small,10,0,0,1,25,8.75,11.6,307.71
2021-10-12,Home & Garden,Central,Medium,10,1,0,0,64,12.44,5.3,702.89
2021-10-13,Electronics,East,Small,10,2,0,0,37,10.75,0.8,389.35
2021-10-14,Clothing,East,Medium,10,3,0,0,34,11.56,20.3,340.59
2021-10-15,Electronics,East,Large,10,4,0,0,96,8.43,9.2,737.75
2021-10-16,Home & Garden,South,Medium,10,5,1,0,39,12.1,14.1,426.58
2021-10-17,Groceries,East,Medium,10,6,1,1,108,8.9,27.0,861.35
2021-10-18,Electronics,East,Small,10,0,0,0,35,8.81,17.4,280.26
2021-10-19,Groceries,West,Medium,10,1,0,1,78,8.18,3.4,776.86
2021-10-20,Electronics,North,Small,10,2,0,0,24,11.4,2.9,281.68
2021-10-21,Clothing,West,Medium,10,3,0,0,39,10.71,20.1,313.04
2021-10-22,Clothing,East,Medium,10,4,0,1,15,10.25,2.4,314.31
2021-10-23,Groceries,East,Small,10,5,1,0,58,8.29,19.9,432.02
2021-10-24,Electronics,South,Medium,10,6,1,1,27,11.74,20.7,390.6
2021-10-25,Clothing,Central,Large,10,0,0,0,71,9.25,6.7,636.39
2021-10-26,Sports,Central,Medium,10,1,0,1,38,8.72,13.9,441.65
2021-10-27,Electronics,East,Medium,10,2,0,0,97,8.67,18.1,738.3
2021-10-28,Sports,South,Large,10,3,0,0,48,9.27,29.4,354.91
2021-10-29,Groceries,East,Large,10,4,0,0,152,10.69,21.9,1171.62
2021-10-30,Sports,West,Small,10,5,1,0,20,10.05,27.1,156.85
2021-10-31,Sports,South,Small,10,6,1,1,27,8.75,28.6,276.79
2021-11-01,Groceries,South,Large,11,0,0,0,74,13.34,23.9,697.53
2021-11-02,Clothing,South,Medium,11,1,0,0,38,9.5,25.4,272.54
2021-11-03,Clothing,West,Medium,11,2,0,0,15,11.37,23.5,145.37
2021-11-04,Sports,Central,Large,11,3,0,1,49,11.66,23.4,512.57
2021-11-05,Sports,South,Small,11,4,0,0,19,10.18,13.9,182.65
2021-11-06,Electronics,Central,Large,11,5,1,1,83,9.94,28.1,648.38
2021-11-07,Sports,West,Medium,11,6,1,0,41,8.92,6.7,364.94
2021-11-08,Electronics,Central,Medium,11,0,0,1,69,8.31,23.1,539.88
2021-11-09,Home & Garden,North,Small,11,1,0,0,38,10.31,11.1,381.14
2021-11-10,Home & Garden,Central,Medium,11,2,0,1,57,11.67,22.9,588.24
2021-11-11,Groceries,South,Medium,11,3,0,1,77,8.95,26.8,662.42
2021-11-12,Electronics,North,Large,11,4,0,0,51,11.05,14.4,492.73
2021-11-13,Groceries,South,Small,11,5,1,1,61,10.33,15.7,633.89
2021-11-14,Electronics,Central,Small,11,6,1,1,38,11.29,4.4,586.5
2021-11-15,Groceries,North,Large,11,0,0,0,90,10.11,26.3,719.09
2021-11-16,Electronics,Central,Medium,11,1,0,1,40,10.12,24.4,386.85
2021-11-17,Groceries,North,Large,11,2,0,0,111,9.1,6.1,988.78
2021-11-18,Clothing,South,Medium,11,3,0,0,17,8.57,5.2,158.31
2021-11-19,Clothing,South,Medium,11,4,0,0,30,11.76,25.9,260.73
2021-11-20,Sports,East,Medium,11,5,1,0,37,10.15,16.4,303.27
2021-11-21,Sports,West,Medium,11,6,1,1,20,11.86,7.3,377.65
2021-11-22,Clothing,Central,Small,11,0,0,1,19,11.97,13.5,249.05
2021-11-23,Groceries,East,Small,11,1,0,1,57,12.44,20.5,619.73
2021-11-24,Groceries,West,Small,11,2,0,0,58,8.09,9.6,444.48
2021-11-25,Home & Garden,Central,Large,11,3,0,1,53,11.48,7.6,725.31
2021-11-26,Clothing,South,Medium,11,4,0,0,21,9.71,27.6,162.22
2021-11-27,Home & Garden,Central,Small,11,5,1,0,26,10.76,18.5,260.0
2021-11-28,Clothing,Central,Medium,11,6,1,0,27,10.31,29.0,224.44
2021-11-29,Groceries,Central,Large,11,0,0,0,164,7.98,10.5,1277.89
2021-11-30,Groceries,West,Medium,11,1,0,0,70,9.05,20.5,542.95
2021-12-01,Home & Garden,Central,Medium,12,2,0,1,64,8.69,23.0,502.23
2021-12-02,Groceries,West,Medium,12,3,0,0,87,9.45,27.3,585.52
2021-12-03,Sports,North,Large,12,4,0,1,49,8.52,18.5,479.17
2021-12-04,Groceries,West,Small,12,5,1,1,50,12.15,16.8,554.9
2021-12-05,Sports,East,Medium,12,6,1,1,33,8.84,16.7,346.07
2021-12-06,Clothing,Central,Large,12,0,0,0,55,11.7,22.0,525.29
2021-12-07,Electronics,South,Medium,12,1,0,0,71,10.66,11.2,746.8
2021-12-08,Home & Garden,South,Medium,12,2,0,0,28,10.78,6.6,290.21
2021-12-09,Groceries,South,Medium,12,3,0,1,122,9.01,8.6,1115.15
2021-12-10,Groceries,South,Large,12,4,0,0,95,11.83,21.0,846.06
2021-12-11,Clothing,North,Large,12,5,1,0,50,10.7,25.2,437.98
2021-12-12,Sports,South,Large,12,6,1,1,54,11.09,17.2,652.74
2021-12-13,Groceries,West,Large,12,0,0,1,3,8.85,22.5,165.49
2021-12-14,Electronics,East,Large,12,1,0,0,74,10.21,16.0,602.41
